NB_OBJ,NB_SYS,SYSTEM_NAME,OBJ_CAT,OBJ_NAME,RA,DEC,EPOCH,PARALLAX,PARALLAX_ERROR,PARALLAX_BIBCODE,PMRA,PMRA_ERROR,PMDEC,PMDEC_ERROR,PM_BIBCODE,RV,RV_ERROR,RV_BIBCODE,SP_TYPE,SP_BIBCODE,SP_METHOD,G_CODE,G,G_ESTIMATE,GBP,GRP,U,B,V,R,I,J,H,K,SYSTEM_BIBCODE,EXOPLANET_COUNT,GAIA_DR2,GAIA_EDR3,SIMBAD_NAME,COMMON_NAME,GJ,HD,HIP,COMMENT
41,20,eps Ind,BD,eps Ind B,331.076452596564,-56.7938120668822,2016,270.658032469453,0.6895573,2020yCat.1350....0G,3981.97666296105,0.6016568,-2466.83181476635,0.6256827,2020yCat.1350....0G,,,,T1,2006ApJ...637.1067B,NIR Spec,3,18.056162,,21.142073,16.060108,,,24.12,20.8,15.6,11.908,11.306,11.208,2010A&A...510A..99K,,,Gaia EDR3 6412596012146801152,GJ 845 B,eps Ind Ba,GJ 845 B,,,...
42,20,eps Ind,BD,eps Ind C,331.076452596564,-56.7938120668822,2016,270.658032469453,0.6895573,FROM:epsIndB,3981.97666296105,0.6016568,-2466.83181476635,0.6256827,FROM:GJ845B,,,,T6,2006ApJ...637.1067B,NIR Spec,10,,19.33,,,,,,,,,,,2010A&A...510A..99K,,,,GJ 845 C,eps Ind Bb,GJ 845 C,,,...
43,21,tau Cet,*,tau Cet,26.0090550571601,-15.9336802006939,2016,273.8097451186,0.17013045,2020yCat.1350....0G,-1721.72779447207,0.18087587,854.963157058958,0.08807259,2020yCat.1350....0G,-16.597,0.0007,2018A&A...616A...7S,G8.5,2006AJ....132..161G,Opt Spec,3,3.3003998,,3.7995205,2.7482994,4.43,4.22,3.5,2.88,2.41,2.14,1.72,1.68,,,Gaia DR2 2452378776434276992,Gaia EDR3 2452378776434477184,tau Cet,,GJ 71.0,HD 10700,HIP 8102,tau Cet e f g h: candidate planets 2017AJ....154..135F
44,22,L 372-58,LM,GJ 1061,54.003393877363,-44.5143623160478,2016,272.161540831782,0.031645775,2020yCat.1350....0G,745.65434000424,0.03492798,-373.323280913653,0.038019042,2020yCat.1350....0G,14.499,0.0024,2014MNRAS.439.3094B,M5.5,2002AJ....123.2002H,Opt Spec,3,10.995456,,13.281103,9.615727,16.22,14.98,13.07,11.45,9.47,7.523,7.015,6.61,,3,Gaia DR2 4848140361962951552,Gaia EDR3 4848140361962951552,L 372-58,,GJ 1061,,,...
45,22,L 372-58,Planet,GJ 1061 b,54.003393877363,-44.5143623160478,2016,272.161540831782,0.031645775,FROM:GJ1061,,,,,,,,,,,,,,,,,,,,,,,,,2020MNRAS.493..536D,,,,,,,,,...
46,22,L 372-58,Planet,GJ 1061 c,54.003393877363,-44.5143623160478,2016,272.161540831782,0.031645775,FROM:GJ1061,,,,,,,,,,,,,,,,,,,,,,,,,2020MNRAS.493..536D,,,,,,,,,...
47,22,L 372-58,Planet,GJ 1061 d,54.003393877363,-44.5143623160478,2016,272.161540831782,0.031645775,FROM:GJ1061,,,,,,,,,,,,,,,,,,,,,,,,,2020MNRAS.493..536D,,,,,,,,,...
48,23,YZ Cet,LM,YZ Cet,18.1332542537094,-16.9961548724792,2016,269.057304650389,0.03366602,2020yCat.1350....0G,1205.07445031774,0.04133712,637.54663396791,0.051560108,2020yCat.1350....0G,27.846,0.023,2020A&A...636A..36L,M4e,2015AJ....149..106D,Opt Spec,3,10.436525,,12.331689,9.13462,15.315,13.885,12.074,10.696,8.938,7.258,6.749,6.42,,3,Gaia DR2 2358524597030794112,Gaia EDR3 2358524597030794112,YZ Cet,,GJ 54.1,,HIP 5643,...
49,23,YZ Cet,Planet,YZ Cet b,18.1332542537094,-16.9961548724792,2016,269.057304650389,0.03366602,FROM:YZCet,,,,,,,,,,,,,,,,,,,,,,,,,2017A&A...605L..11A,,,,,,,,,...
50,23,YZ Cet,Planet,YZ Cet c,18.1332542537094,-16.9961548724792,2016,269.057304650389,0.03366602,FROM:YZCet,,,,,,,,,,,,,,,,,,,,,,,,,2017A&A...605L..11A,,,,,,,,,...
51,23,YZ Cet,Planet,YZ Cet d,18.1332542537094,-16.9961548724792,2016,269.057304650389,0.03366602,FROM:YZCet,,,,,,,,,,,,,,,,,,,,,,,,,2017A&A...605L..11A,,,,,,,,,...
52,24,Luyten's Star,LM,GJ 273,111.854628442594,5.209382701707,2016,264.126897754607,0.04127979,2020yCat.1350....0G,571.232346729318,0.04458072,-3691.48656537927,0.03559047,2020yCat.1350....0G,17.895,0.025,2020A&A...636A..36L,M3.5,2015A&A...577A.128A,Opt Spec,3,8.576388,,10.111705,7.3539467,12.558,11.443,9.872,8.699,7.161,5.714,5.219,4.857,,2,,Gaia EDR3 3139847906307949696,BD+05 1668,Luyten's Star,GJ 273,,HIP 36208,GJ 273 d e: unconfirmed planets 2020A&A...641A..23P
53,24,Luyten's Star,Planet,GJ 273 b,111.854628442594,5.209382701707,2016,264.126897754607,0.04127979,FROM:GJ273,,,,,,,,,,,,,,,,,,,,,,,,,2017A&A...602A..88A,,,,,,,,,...
54,24,Luyten's Star,Planet,GJ 273 c,111.854628442594,5.209382701707,2016,264.126897754607,0.04127979,FROM:GJ273,,,,,,,,,,,,,,,,,,,,,,,,,2017A&A...602A..88A,,,,,,,,,...
55,25,Teegarden's Star,LM,Teegarden's Star,43.2696424767906,16.8643738189774,2016,260.988440680473,0.09342672,2020yCat.1350....0G,3429.08282680777,0.087942876,-3805.54112273733,0.08326042,2020yCat.1350....0G,64.01,0.0124,2014MNRAS.439.3094B,M6,2019AJ....157...63K,Opt Spec,3,12.263103,,15.31863,10.790128,,17.21,,14.1,,8.394,7.883,7.585,,2,Gaia DR2 35227046884571776,Gaia EDR3 35227046884571776,Teegarden's Star,Teegarden's Star,,,,...
56,25,Teegarden's Star,Planet,Teegarden's Star b,43.2696424767906,16.8643738189774,2016,260.988440680473,0.09342672,FROM:Teegarden'sStar,,,,,,,,,,,,,,,,,,,,,,,,,2019A&A...627A..49Z,,,,,,,,,...
57,25,Teegarden's Star,Planet,Teegarden's Star c,43.2696424767906,16.8643738189774,2016,260.988440680473,0.09342672,FROM:Teegarden'sStar,,,,,,,,,,,,,,,,,,,,,,,,,2019A&A...627A..49Z,,,,,,,,,...
58,26,Kapteyn's Star,LM,Kapteyn's Star,77.9599373502188,-45.0438126993602,2016,254.198593263846,0.016842743,2020yCat.1350....0G,6491.2233390616,0.018412089,-5708.61415004524,0.020839408,2020yCat.1350....0G,245.234,0.0017,2018A&A...616A...7S,sdM1,1995AJ....110.1838R,Opt Spec,3,8.063552,,9.086244,7.059598,11.624,10.433,8.853,7.9,6.899,5.821,5.316,5.049,,,Gaia DR2 4810594479417465600,Gaia EDR3 4810594479418041856,Kapteyn's Star,Kapteyn's Star,GJ 191,HD 33793,HIP 24186,Kapteyn's Star c: controversial planet 2014MNRAS.443L..89A
59,27,AX Mic,LM,AX Mic,319.295018138095,-38.8724564007018,2016,251.912422210706,0.03516071,2020yCat.1350....0G,-3258.9662187024,0.029930007,-1145.86239691243,0.025867643,2020yCat.1350....0G,20.56,0.13,2018yCat.1345....0G,M1,2014MNRAS.443.2561G,Opt Spec,3,5.984104,,6.8927255,5.0391383,,8.09,6.68,,,4.046,3.256,3.1,,,Gaia DR2 6583272171335359360,Gaia EDR3 6583272171336048640,AX Mic,Lacaille 8760,GJ 825,HD 202560,HIP 105090,...
60,28,HD 239960,LM,HD 239960 A,336.992112905613,57.6940320529349,2016,249.3926,0.1653,2018yCat.1345....0G,-725.227,0.537,-223.461,0.348,2018yCat.1345....0G,-24,5,1953GCRV..C......0W,M3,2002AJ....123.2002H,Opt Spec,3,8.669,,9.949746,7.3118215,,11.82,11.41,,,,,,1951PASP...63..141V,,Gaia DR2 2007876324466455424,Gaia EDR3 2007876324466455040,HD 239960A,Kruger 60 A,GJ 860 A,HD 239960 A,,...
61,28,HD 239960,LM,HD 239960 B,336.991386092436,57.6941007804784,2016,249.9668,0.7414,2018yCat.1345....0G,-934.098,1.319,-686.244,1.41,2018yCat.1345....0G,-28,5,1953GCRV..C......0W,M4,2002AJ....123.2002H,Opt Spec,3,9.98,,10.83782,7.5156827,,,,,,,,,1951PASP...63..141V,,Gaia DR2 2007876324472098432,Gaia EDR3 2007876324472098432,HD 239960B,DO Cep,GJ 860 B,HD 239960 B,,...
62,29,SCR J1845-6357,LM,SCR J1845-6357 A,281.29804386226,-63.9605673665841,2016,249.665145890422,0.1330301,2020yCat.1350....0G,2583.18978599533,0.09070165,588.504138102202,0.10340071,2020yCat.1350....0G,-18,2,2015ApJS..220...18B,M8,2012A&A...540A.131V,NIR Spec,3,14.02148,,17.564142,12.451222,,,17.4,14.99,12.46,9.544,8.967,8.508,2012A&A...540A.131V,,Gaia DR2 6439125097425259776,Gaia EDR3 6439125097427143808,SCR J1845-6357,,,,,...
63,29,SCR J1845-6357,BD,SCR J1845-6357 B,281.28054,-63.961885,2005.5,249.665145890422,0.1330301,FROM:SCRJ1845-6357A,2583.18978599533,0.09070165,588.504138102202,0.10340071,FROM:SCRJ1845-6357,,,,T6,2012A&A...540A.131V,NIR Spec,10,,19.5,,,,,,,,13.29,13.1,13.7,2012A&A...540A.131V,,,,SCR J1845-6357B,,,,,Could be EDR3 6439125097425887488 with sep 2.2 arcsec but doubtful  G-Rp=1.3 small for a midT
64,30,DENIS J104814.6-395606,LM,DENIS J104814.6-395606,162.053887716666,-39.9396259473069,2016,247.215586922307,0.051197793,2020yCat.1350....0G,-1179.31113384335,0.055921696,-988.121495959523,0.055926006,2020yCat.1350....0G,-11,2,2015ApJS..220...18B,M9,2013A&A...556A..15R,Opt Spec,3,14.005882,,17.617006,12.46335,,,17.532,15.051,12.67,9.538,8.9,8.447,,,Gaia DR2 5393446658454453632,Gaia EDR3 5393446658454453632,DENIS J104814.6-395606,,,,,...
